title_normalized,price_quetzales,square_meters,rooms,parking,baths,location_normalized,description_normalized
apartamento en zona 14,1872000,110,2,2,1,zona 14,edificio - salon de ninos - salon social - gimnasio apartamento - area de apartamento 110 m2 - area de parqueo 31 46 m2 - sala comedor - cocina - bano de visitas - dormitorio de servicio con bano - 2 dormitorios - 1 bano - lavanderia con blancos - 2 parqueos en sotano precio de venta 240 000 mantenimiento q1 138 informacion general codigo 249846
casa en venta en manantiales de fraijanes zona 4,1100000,230,4,2,3,carretera a el salvador,construccion 230 m2 terreno 364 15 m2 521 15 v2 parqueo para 2 vehiculos sala comedor y cocina 4 habitaciones 3 banos area de lavanderia patio techado jardin con churrasquera pergola terraza bomba cisterna y calentador solar precio de venta q 1 100 000 00 0504 518 info te146460011 info te145417320
apartamento amueblado en zona 9,1552200,165,2,1,2,zona 9,apartamento - area de apartamento 165 m2 - sala comedor - cocina - 2 balcones - bano de visitas - dormitorio de servicio con bano - 2 dormitorios - 2 banos - lavanderia - 1 parqueo precio de venta 199 000 antes 220 000 mantenimiento q1 500 no negociable informacion general codigo 235393
apartamentos en zona 1 opcion 3,1228227,62,3,1,1,zona 1,amenidades - terrazas - gimnasio - area verde - salon social - area de juegos apartamentos - area de apartamento 62 m2 y 79 75 m2 - sala comedor - cocina - balcon - 3 dormitorios - bano - 1 y 2 parqueos precio de venta q1 188 856 hasta q1 620 993 incluye impuestos fecha de entrega mediados del 2025 enganche 15 informacion general codigo 249876
apartamentos en zona 1,1575600,78,4,2,2,zona 1,amenidades - terrazas - gimnasio - area verde - salon social - area de juegos apartamentos - area de apartamento 78 m2 - sala comedor - cocina - balcon - 4 dormitorios - banos - 2 parqueos precio de venta q1 524 710 incluye impuestos fecha de entrega mediados del 2025 enganche 15 informacion general codigo 249886
venta apartamento edificio serene simeon canas,1170000,68,2,2,1,zona 2,area 56 mt2 12 mt2 parqueo descripcion 2 habitaciones 1 bano 2 parqueos pet friendly area de yoga terraza con churrasquera jardin del edificio precio usd 150 000
apartamento en venta en portico zona 7,905000,61,2,2,2,guatemala city,apartamento en venta zona 7 ciudad guatemala 2 habitaciones con closet 2 banos completos 2 estacionamientos cocina con gabinetes estufa refrigerador extractor de olores area de lavanderia con lavadora y secadoraamenidades del edificio pergola con sala de estar gimnasio salon social area con juegos infantiles cctvcomunicate con el contacto de este anuncio tu profesional inmobiliario clave interna paa 022 10 19
casa en san pedro las huertas antigua guatemala,1198431,160,4,1,2,san pedro sacatepequez,condominio - casa club - detalles antiguenos - calles empedradas - jardines amplios casa - area de construccion 120 m2 - area del terreno 160 v2 112 m2 primer nivel - sala comedor cocina con gabinetes - bucaro y una linternilla en area de cocina - bano de visitas completo - 2 dormitorios - area de lavanderia - jardin con bucaro - 1 parqueo otro se puede dejar enfrente segundo nivel - dormitorio principal con walk in closet bano ventana con vista al jardin - estudio o dormitorio con bano completo y salida a pergola - bucaros decorativos precio de venta q1 160 000 no negociable mantenimiento q728 incluye uso de instalaciones agua extraccion seguridad y uso de amenidades informacion general codigo 249365
apartamento en venta zona 4 codigo da33257,1287000,55,2,0,1,zona 4,cuenta con 55 11 mts2 sala comedor cocina area de lavanderia 1 bano y 2 dormitorios precio de venta 165 000 00
apartamento en venta en zona 13 ave hincapie,1100000,113,3,2,2,guatemala city,apartamento para inversion en venta en zona 13 guatemalaactualmente rentado 133 mts2 de construccion 3 habitaciones estudio 4 ta habitacion 2 5 banos 2 parqueos sala y comedor cocina habitacion de servicios con bano area de lavanderia ubicado en el 4o nivel sin elevador gabinetes de cocina closets grandes en las tres habitaciones uno de los banos es privado para la habitacion principal el area de lavanderia tiene pila grande y area interna ventilada para tender excelente iluminacion y ventilacion en todos los ambientes ubicacion monte azul zona 13 ciudad guatemala iniciando avenida hincapie carril auxiliar y puente privado garita de seguridad camaras de control de ingreso estacionamiento de visitas areas verdescuota de mantenimiento q1 000 coordinar visita con el contacto del anuncio clave interna pva 008 02 21 1
vendo amplia casa de 3 dorm 200 m2 2 parq z16 hacienda real,1926600,200,3,2,2,zona 16,vendo amplia casa de 3 dorm 200 m2 2 parq zona 16 hacienda real la casa cuenta con 3 habitaciones todas con closet 2 niveles 200 m2 construccion terreno de 5 33 m x 25 m garage 2 vehiculos sala - comedor y cocina espacio abierto 2 5 banos lavanderia interna sala familiar jardin posterior garita de acceso 24 h mantenimiento q200 precio de venta 247 000 impuestos fecha de entrega aproximada mayo 2024 mayor informacion y citas al numero en el anuncio si deseas vender o alquilar tu propiedad !contactanos sera un gusto atenderte
apartamento en vista hermosa i zona 15,1700400,80,2,2,2,zona 15,edificio - gym - firepit - salon pequeno - area de juegos - area de daycare - area de launchpad - rooftop con area de ninos apartamento - area de apartamento 80 m2 - sala comedor - cocina - balcon - 2 dormitorios - 2 banos completos - 2 walk in closet - bodega - 2 parqueos precio de venta 218 000 antes 230 000 timbres mantenimiento q1 500 incluye agua extraccion de basura y amenidades informacion general codigo 235235
se vende casa carretera al salvador kilometro 21 cumbres de la arboleda,1500000,178,4,2,3,carretera a el salvador,de dos niveles terreno de 7 x20 area de construccion 178 mts2 cuatro habitaciones tres banos y medio balcon amplio patio y jardin garita de seguridad dos casas club garaje cubierto dos carros precio de venta q un millon quinientos mil negociables tramite de financiamiento bancario
venta de casa en zona 13,1946100,236,3,2,3,zona 13,monte azul 2 niveles 236 mts2 sala comedor cocina 3 habitaciones 3 5 banos sala familiar balcon cuarto de servicio con bano area de lavanderia 2 parqueos paralelos nota no tiene jardin solamente un amplio balcon
townhouse en olmeca km 20 fraijanes,693360,100,2,2,3,fraijanes,amenidades - piscina - gimnasio - parque de perros - area verde con juegos infantiles - salon social townhouse - 2 parqueos tandem primer nivel - sala comedor cocina - bano de visitas - pergola moderna - area de lavanderia - calentador de paso segundo nivel - dormitorio con walk in closet - bano completo tercer nivel - dormitorio secundario - bano completo - pergola techada con vista hacia las montanas precio de venta q650 000 antes q680 000 informacion general codigo 212767
apartamentos en vista hermosa i zona 15 opcion 2,1409959,66,2,2,2,zona 15,amenidades - lobby - playroom - rooftop - lap pool - indoor gym - boutique garden - social lounge - business center apartamentos - area de construccion total 94 m2 hasta 131 m2 - area de apartamento 66 m2 hasta 102 m2 - area de parqueo 25 m2 - sala comedor - cocina - 2 dormitorios - 2 banos - balcon - opciones con bodega - 2 parqueos precio de venta 180 764 hasta 249 006 impuestos fecha de entrega ultimo trimestre del 2025 informacion general codigo 212020
casa en santa catarina pinula,1404000,230,3,2,3,santa catarina pinula,condominio - gym - area pet - cisterna - area bbq - muro perimetral - garita de seguridad - salon de usos multiples - area para ninos y adultos - circuito cerrado de camaras casa - area de construccion 230 m2 - medidas del terreno 8 55 m x 17 m - sala comedor cocina - estudio pequeno - dormitorio principal con bano - 2 dormitorios secundarios con bano - lavanderia y pila - jardin y pergola - 2 parqueos techados precio de venta 180 000 mantenimiento q800 informacion general codigo 226276
vendo apartamento en zona 12 torre pamplona en nivel alto ar 8477,1190000,87,3,2,2,zona 12,venta de apartamento en torre pamplona zona 12 cuenta con 86 91 m2 de construccion bano de visitas sala comedor cocina 3 dormitorios; el principal con walk in closet y secundarios con closet 2 banos area de lavanderia balcon y 2 parqueos detalles de construccion piso ceramico imitacion madera puertas de mdf y ventanas de pvc el edificio cuenta con salon social area de juegos infantiles salon de juegos area para acampar areas verdes area para mascotas churrasqueras firepit gimnasio y lounge se aceptan mascotas se pagan q1 119 10 de cuota de mantenimiento precio q1 190 000 00 impuestos de ley codigo 8477
casa en venta en portal del bosque km 22 3 ruta a el salvador,1800000,168,3,2,3,fraijanes,primer nivel sala comedor cocina bano de visitas lavanderia dormitorio de servicio con bano jardin parqueo 2 vehiculos segundo nivel 3 dormitorios el principal con bano y walking closet dormitorios secundarios comparten bano sala familiar bano completo condominio con seguridad 24 7 casa club piscina gym areas sociales area de juegos jardin salis de usos multiples precio de venta q1 800 000 00 impuestos 1803 515 agenda tu cita te145417320 te146460011
en venta apartamento nuevo en zona 10 ref 4029,951600,55,1,1,2,guatemala city,en venta apartamento nuevo en zona 10 ref 4029 edificio de 18 niveles 2 torres de apartamentos excelente ubicacion descripcion habitacion con walk in closet bano y mini balcon sala con balcon comedor cocina area de lavanderia bano de visitas bodega 1 parqueos sobre los acabados del apartamento zocalo en todo el apartamento piso ceramico imitacion madera 3 20 mts de altura de losa a losa cocina con gabinetes de cocina imitacion madera y top de cuarzo salpicadera alta de cuarzo griferia alemana closet y muebles de bano con top de cuarzo amenidades lobby con 2 salas de espera circuito cerrado y seguridad 24 7 piscina semiolimpica de 25 mts gimnasio amplio con ventilacion y luz natural 2 business center salon social area infantil circuito para bicicleta y scooters playground planta electrica para todo el edificio parqueo techado de visitas pet friendly precio de venta desde u 122 000 mas iva
casas nuevas en condominio en villa canales,650000,120,4,2,3,villa canales,casa nueva de 2 niveles en villa las canales construccion tradicional de block paredes individuales excelente ubicacion doble garita de seguridad espacio para 2 vehiculos sala comedor cocina con cocineta lavanderia habitacion de servicio completa bano de visitas habitacion con bano privado y walking closet 2 habitaciones secundarias bano completo estudio reserva tu casa con q5 000 son parte del enganche aplicas si trabajas para una empresa tienes negocio propio recibes remesas clave interna pvc 005 02 24
casa en venta en condominio residencial,1560000,217,3,4,2,fraijanes,casa en venta en km 18 5 carretera a el salvador esta linda casa esta en un condominio bastante tranquilo donde se puede salir a caminar por senderos entre arboles queda cerca de gimnasios restaurantes centros comerciales colegios tiene varios accesos 1 er nivel estudio con bano visitas sala comedor cocina pergola lavanderia cuarto de servicio patio con pasillo pequena bodega bajo las gradas 2 ndo nivel 3 habitaciones dos habitaciones con bano compartido principal con bano walking closet y terraza amplia sala familiar 200 000 clave interna pvc 005 03 24
edificio de apartamentos en venta san juan sacatepequez,1450000,400,10,3,6,san juan sacatepequez,edificio de 5 apartamentos en venta san juan sacatepequez construccion 400 mts2 terreno 7 x 15 apartamento 1 3 habitaciones 2 banos completos 2 parqueos sala - comedor - cocina con gabinetes balcon patio lavanderiaapartamento tipo estudio 2 habitacion - comedor - cocina con gabinetes balconapartamento 3 3 habitaciones 1 bano completo sala - comedor - cocina con gabinetes balcon lavanderiaapartamento tipo estudio 4 habitacion - comedor - cocina con gabinetes balconapartamento 5 2 habitaciones 1 bano completo sala - comedor - cocina con gabinetes 2 balcones lavanderiaubicacion km 18 5 san juan sacatepequez condominios las victorias garita de control area verde con juegos infantiles cancha deportiva coordinar cita con el contacto del anuncio clave interna pma 017 02 24
casa en venta san cristobal zona 8 de mixco,1375000,230,4,3,2,mixco,canadas de san cristobal zona 8 de mixco 4 habitaciones estudio 3  1/2 banos 3 parqueos 2 al frente sala comedor - cocina sala familiar lavanderia techada 2 niveles construccion 226 mts2 terreno 9 x 16 lindos acabados diferenciadores iluminacion con lamparas decorativas gabinetes en la cocina walk in closet y bano privado para la habitacion principal closets en las tres habitaciones secundarias incluye cook top y lavavajillas ubicacion cascadas de san cristobal zona 8 de mixco guatemala garita de control calles pavimentadas coordinar cita con el contacto del anuncio clave interna pac
casa en san jose pinula,2000000,88,4,1,3,san jose pinula,- area de construccion 88 m2 terrazas - area del terreno 858 v2 600 m2 - camaras de seguridad - sala comedor cocina - oficina - 4 dormitorios - 3 banos completos - terraza - bomba de agua - parqueo techado precio de venta 250 000 negociable mantenimiento q480 incluye basura y agua informacion general codigo 246576 contactenos pbx whatsapp
vendo apartamento ideal para inversionistas en zona 4 ref 3381,1045200,46,1,1,1,guatemala city,vendo apartamento ideal para inversionistas en zona 4 ref 3381 descripcion 46 07 mts2 ideal para inversionistas actualmente operando en airbnb con el mezzanine dan amueblado 1 habitacion 1 bano sala comedor cocina incluye muebles y mejoras en acabados de cocina area de lavanderia 1 parqueo venta en 134 000 00 timbres
vendo apartamento en zona 14 ref 3383,1400000,83,3,2,2,guatemala city,vendo apartamento en zona 14 ref 3383 descripcion nivel medio 83 mts2 2 parqueos sala comedor cocina con estufa lavadora y secadora 3 habitaciones 2 banos pet friendly precio de venta q1 400 000 00
apartamento en venta en zona 10 ref 3391,936000,92,1,2,1,guatemala city,apartamento en venta en zona 10 ref 3391 descripcion 67 mts2 interior 25 parqueos 1 habitacion amplia 1 5 banos cocina abierta con top de cuarzo blanco linea blanca completa area de lavanderia sala con linda vista con ventana balcon blackouts en dormitorio 2 parqueos venta en 120 000 00 3 de timbres
apartamento amueblado en zona 5,741696,35,1,1,1,zona 5,edificio - gimnasio - area de ninos - churrasqueras - business center - salon de estudio apartamento - area de apartamento 35 m2 balcon - sala cocina con desayunador - 1 dormitorio - 1 bano - 1 parqueo precio de venta q700 000 timbres mantenimiento q556 incluye agua seguridad limpieza y mantenimiento de areas comunes informacion general codigo 246391
casa en venta en san angel 2 zona 2,1350000,162,3,1,3,zona 2,2 niveles 3 dormitorios principal con walk in closet y bano balcon 3 banos sala comedor cocina cuarto de servicio area de lavanderia jardin 1 parqueo precio de venta q 1 350 000 00 iusi q 240 00 mantenimiento q 200 00 1303 350 agenda tu cita info te146460011 info te145417320
apartamento amueblado en venta en zona 10 ref 3312,1552200,100,3,2,2,guatemala city,apartamento amueblado en venta en zona 10 ref 3312 descripcion 100 mts 3 habitaciones habitacion principal con walk in closet y bano balcon 2 banos sala comedor cocina equipada linea blanca area de lavanderia 2 parqueos amenidades gimnasio piscina con vistas business center area social area infantil area verde venta en 199 000 00
vendo apartamento en zona 10,1716000,159,3,2,2,zona 10,en excelente ubicacion a pocos metros de la 20 calle de la zona 10 area 158 92 m2 de apartamento mas dos parqueos tres dormitorios el principal con walking closet y bano los dos dormitorios secundarios con closet comparten bano sala principal comedor cocina sala familiar o estudio dormitorio de servicio lavanderia acabados finos de madera en todo el apartamento precio 220 000 00 negociable mantenimiento mensual q1 400 00 incluye agua seguridad mantenimiento de areas comunes extraccion de basura llame ya agende una visita
lofts en antigua guatemala,930501,64,2,0,2,san juan sacatepequez,- area del terreno 64 v2 hasta 84 v2 primer nivel - sala - comedor - cocina - bano de visitas - jardin segundo nivel - 2 dormitorios con closet - 2 banos completos - terraza precio de venta q900 000 hasta q959 462 informacion general codigo 247280
casa en venta en construccion dentro de condiminio ruta a ciudad quetzal,450000,120,2,2,2,san juan sacatepequez,casa en venta en construccion dentro de condominio ruta a ciudad quetzal san francisco del bosque 3 medidas del terreno 6 x15 casa de 1 nivel 2 parqueos sala comedor cocina 2 cuartos 2 banos terraza con pergola y pila reforzada para un segundo nivel medidas de construccion 120 metros cuadrados precio q450 000 00
vendo apartamento en zona 11 acodi,1302756,67,2,2,1,zona 1,
dosento colonia oakland zona 10 nuevo proyecto de apartamentos,1293240,94,1,2,1,zona 10,unicos 8 apartamentos disponbiles desde el primer paso dentro su energia era palpable un bosque resguardado lleno de flores arboles jardines plantas y un sinfin de mariposas y pajaros que evocaban un anhelo de pertenencia justo frente se fusiona la magia un espacio que podia abrazar esta joya natural asi comienza la historia un chispazo de creatividad da vida a una obra arquitectonica todos los espacios tenian que participar del impresionante escenario natural que es bello observar y asi nace dosento 12 apartamentos llenos de luz y ventilacion natural 12 oportunidades para llamar hogar y con su estilo los espacios marcar la arquitectura se abre completamente al parque girando alrededor de la amenidad mas valiosa es llevar un pedacito del exterior a tu espacio la luz del sol juega con las sombras creando una belleza unica en cada rincon diseno parque la joya es el centro del escenario y la arquitectura se abre para recibir la energia de una vista verde desde todos los espacios jardin zen solo los que conocen sus calles y sus parques saben que la tranquilidad aqui es asunto diario parque la joya es el centro del escenario y la arquitectura se abre para recibir la energia de una vista verde desde todos los espacios 12 apartamentos 5 niveles 1 sotano 12 apartamentos vistas y ventanas al frente a los lados y atras parque la joya esta presente en todo dosento 4 tipologias de apartamentos cada tipologia tiene 3 opciones de distribucion a elegir modelos 1 dormitorio area 69 mts2 2 parqueos precio usd 165 800 impuestos 2 dormitorios area 159 mts2 17 mt2 de exterior 2 parqueos precio usd 390 000 impuestos 3 dormitorios area 183 mts2 27 mt2 de exterior 2 parqueos precio usd 480 000 impuestos
irantu proyecto nuevo sobre 20 calle zona 10,795000,53,1,1,1,zona 10,en irantu te ofrecemos la solucion para vivir la vida que deseas con una ubicacion en el centro de la ciudad que te permite disfrutar de todas las opciones que la ciudad tiene para ofrecer los tres pilares de irantu ubicacion 20 calle zona 10 mas de 20 amenidades a tu disposicion entorno verde con mas de 2 000 mts2 de area verde 1 dormitorio area 40 mts2 parqueo precios desde q795 000 mas impuestos imaginate sabiendo exactamente como pasaras tu dia poder planificar pasar mas tiempo con tu familia hacer mas ejercicio y hacer mas de lo que te gusta ya no tendrias que perder horas en el trafico ni lidiar con horarios estrictos ya no tendrias que preocuparte por no tener tiempo sino que podrias vivir la vida a tu manera podras disfrutar de la comodidad de estar cerca de todo lo que te gust a y de tener el control de tu vida amenidades 20 lobby coworking salas de reuniones sala de cine game room salon para eventos gimnasio yoga deck bbq piscina ludoteca area para pinatas pet park y pet spa chef's kitchen man cave tea room lounge jardin central sendero cancha de papifut
venta apartamento en mira zona 10 2 dormitorios rentado ideal para inversion,1677000,105,2,2,2,zona 10,increible apartamento de 80 mts2 mas parqueos en venta con excelente inquilino para inversion en el corazon de zona 10 con dos salidas a zona 10 y a zona 15 equipado con linea blanca el apartamento cuenta con 2 habitaciones 2 banos sala comedor cocina equipada con linea blanca y 2 parqueos excelentes vistas a la reserva natural en nivel 9 amenidades mira terraza verde rooftop plaza urbana gimnasio sala familiar y cocina cafecito mira business center y comercio precio de venta usd 215 000
linda casa en venta cumbres de la arboleda,1326000,180,3,3,2,carretera a el salvador,lindo complejo en km 21 5 carretera al salvador casa de 3 dormitorios sala comedor cocina lavanderia dormitorio de servicio pergola jardin garage para 2 vehiculos techados dormitorio principal con walking closet y bano 2 dormitorios secundarios con closet y bano compartido sala familiar el condominio cuenta con 2 areas sociales piscina cancha de tennis futbol salones sociales y parques
amplio apartamento 1 habitacion zona 11,841799,58,1,1,1,zona 11,apartamento en venta 1 habitacion mariscal 180deg zona 11 colonia mariscal detalles nivel 13 construccion 62 86 mts2 1 parqueo distribucion sala comedor cocina balcon area de lavanderia 1 amplio bano 1 habitacion con walk in closet amenidades business center area de caminamiento sauna piscina gimnasio sky lounge area social con juegos extras incluye linea blanca refrigeradora estufa torre de lavado valor de venta q841 799 00 enganche q84 180
vendo apartamento en carretera a el salvador km25 ref 3062,772200,98,3,2,2,guatemala city,vendo apartamento en carretera a el salvador km25 ref 3062 descripcion 3 habitaciones 2 banos sala comedor cocina area de lavanderia 2 parqueos amenidades areas sociales areas deportivas areas verdes venta en 99 000 00 mas impuestos
apartamento en venta en parque 11 zona 11 ref 3104,1099800,79,3,2,2,guatemala city,apartamento en venta en parque 11 zona 11 ref 3104 primer nivel 3 habitaciones 2 banos sala comedor cocina y lavanderia amplia 2 parqueos amenidades salones sociales sky lounge gimnasio piscina salon de juegos y video business center churrasqueras venta en 141 000 00
apartamento en venta en carretera a el salvador km8 ref 3125,1833000,179,2,2,3,guatemala city,apartamento en venta en carretera a el salvador km8 5 ref 2516 descripcion 179 mts2 154 mts2 25 de parqueos 2 habitaciones con walk in closet y bano 3 banos sala general comedor cocina abierta remodelada bano de visitas piso de madera remodelado area de lavanderia 2 parqueos primer nivel amenidades jardin amplio parqueo de visitas gimnasio area social area infantil area verde bbq pet friendly garita de seguridad area de papifut precio de venta 235 000 00
casa en venta de 3 niveles en carretera a el salvador km16 ref 3136,650000,106,3,2,2,guatemala city,casa en venta de 3 niveles en carretera a el salvador km16 ref 3136 descripcion 3 habitaciones habitacion master con bano y walk in closet las otras 2 habitaciones comparten bano sala comedor cocina con gabinetes cooktop patio con media pergola 2 parqueos amenidades piscina gimnasio parque infantil parque de mascotas el proyecto tiene 4 anos venta en q650 000 00 mantenimiento 650 00
vendo apartamento de 1 habitacion en zona 1 ref 3163,702000,46,1,0,1,guatemala city,vendo apartamento de 1 habitacion en zona 1 ref 3163 medidas 46 mts2 caracteristicas sala comedor cocina 1 habitacion completa 1 bano area de lavanderia amenidades 3 areas sociales deck gimnasio area infantil bsiness center seguridad 24 7 precio de venta u 90 000 negociables impuestos y timbres
vendo casa dentro de condominio en z 7 mixco ref 2435,1170000,155,3,2,2,zona 7,vendo casa dentro de condominio en z7 mixco ref 2435 descripcion 1 habitacion principal con bano completo y wc 1 habitacion con sala de estar y closet 1 habitacion con balcon y closet bano completo sala comedor cocina bano de visita habitacion de servicio con bano patio garage para 2 vehiculos venta en 150 000 00 negociables
vendo apartamento en nueva caledonia zona 16 ref 3034,1443000,137,2,2,2,guatemala city,vendo apartamento en nueva caledonia zona 16 ref 2043 medidas 137 mts2 caracteristicas 2 habitaciones habitacion principal con bano cocina comedor sala con amplio balcon bano completo de visitas amplia area de lavanderia 2 parqueos bajo techo amenidades elevador amplio parqueo de visitas juegos para ninos gimnasio salon social business center area verde camaras de seguridad pet friendly precio de venta u 185 000 00 negociables
en venta casa de 3 niveles dentro de garita en z 7 mixco ref 3514,1560000,252,7,2,3,zona 7,en venta casa de 3 niveles dentro de garita en z 7 mixco ref 3514 descripcion tres niveles 250 mts2 de construccion 7 habitaciones completas 3 banos sala general comedor cocina habitacion de servicio area de lavanderia con pila terraza patio trasero cisterna 2 parqueos venta en 200 000 00
vendo hermosa casa planes de barcenas,455000,60,3,2,1,villa nueva,vendo preciosa casa en planes de barcenas sector los eucaliptos bello diseno q 455 000 garita de seguridad 1 nivel reforzada para 2 do nivel espacio hasta 3 parqueos sala comedor cocina 3 dormitorios 1 bano completo patio trasero amplio con pila abundante agua seguridad 24 horas informacion al whatsapp
vendo apartamento en prados de monte maria zona 12 ref 4001,765000,80,2,1,1,villa nueva,descripcion nivel 2 2 habitaciones con closets 1 bano completo 1 4 closet 1 parqueo sala comedor cocina con gabinetes area de lavanderia con pila ducto seco para lavadora secadora calentador general de agua caliente mantenimiento incluye agua extraccion de basura areas comunes y seguridad 68 29 mts2 de construccion 11 255 mt2 de parqueo total de apartamento 79 55 libre de gravamenes mantenimiento q450 iusi trimestral q340 84
apartamento de 2 habitaciones en venta en zona 4,1170000,55,2,1,1,zona 4,apartamento de 55 11 mts2 cuenta con sala comedor cocina area de lavanderia 1 bano y 2 dormitorios precio de venta 150 000 eb hv4026
casa en venta en san jose pinula,875000,130,4,2,2,san jose pinula,la casa en venta se encuentra ubicada en san jose pinula en una zona de gran crecimiento urbanistico recientela casa en venta se encuentra cercana a todo tipo de lugares de conveniencia tales como supermercados gasolineras farmacias colegios universidades restaurantes gimnasios plazas comerciales iglesias etc la casa esta construida en un terreno de 164 5 o mts2 y cuenta con dos niveles construidos de la siguiente manera nivel 1 sala con chimenea electrica comedor cocina bodega patio pergola lavanderia bano de visitas cuarto de servicio con bano estacionamiento para dos vehiculossegundo nivel habitacion principal con bano completo y walking closet dos habitaciones secundarias con closet habitacion adicional pequena con closet sala familiar con chimenea electrica bano completo de uso compartido estudio clave interna pvc 025 02 24
venta apartamento en torre villasol zona 12,842400,79,2,2,1,zona 12,apartamento de 56 00 mts2 2 habitaciones 1 bano sala comedor cocina balcon 2 parqueos 23 mts2 bodega pequena en parqueos amenidades seguridad 24 7 gym lavadoras y pilas comunitarias salon social areas de churrasqueras precio de venta 108 000 impuestos
se vende lindo apartamento en 4 grados norte edificio 4 venezia totalmente amueblado,1131000,62,1,1,1,zona 4,apartamento en venta totalmente amueblado ideal para inversion el apartamento cuenta con 1 dormitorio sala - comedor cocina equipada balcon 1 bano completo 1 parqueo area de apartamento 49 mts2 parqueo el edificio cuenta con area de lavanderia terraza con sky lounge para eventos churrasqueras y gimnasio ubicado en la calle peatonal principal de 4 grados norte a distancia caminable de restaurantes gimnasios cafes entre otros ideal para inversion para renta o airbnb por su excelente ubicacion en el corazon de 4 grados norte precio de venta con muebles usd 145 000
casa en venta san jose pinula residenciales san jose 475 000,500000,0,3,2,3,san jose pinula,inversionistas casa de 2 niveles 1 er nivel ambiente abierto para sala y comedor cocina con gabinete y lavatrastos bano de visitas con calentador garaje con porton para 2 vehiculos patio trasero techado con pila y conexion para lavadora 2 o nivel 3 habitaciones habitacion principal con bano privado y calentador 2 habitaciones comparten bano con calentador ya esta impermeabilizada la terraza y las paredes laterales dentro de garita ubicada en orquideas residenciales san jose san jose pinula solo al contado
casa en bosques de arrazola carretera a el salvador,1000000,182,3,2,3,carretera a el salvador,condominio - gimnasio - cancha de tenis - juegos para ninos - parqueo de visitas - casa club con piscina - cancha de futbol y basquet casa - ingreso por olmeca km 16 5 - area de construccion 182 m2 - area de terreno 190 v2 133 m2 primer nivel - sala - comedor - cocina - estudio - bano de visitas completo - dormitorio de servicio - bodega - jardin - lavanderia segundo nivel - sala familiar - dormitorio principal con walk in closet y bano - 2 dormitorios secundarios con bano compartido - terraza con pergola precio de venta q1 000 000 antes q1 200 000 mantenimiento q800 incluye seguridad agua y areas comunes informacion general codigo 235205
vendo bonito apartamento en zona 5,1300000,86,3,2,2,guatemala city,apartamento en zona 5 jardines de la asuncion rodeado de centros comerciales escuelas gimnasios iglesias catolicas y evangelicas facil y rapido acceso el condominio tiene varias amenidades para la familia jardines para recreacion de la familia lobby en el ingreso del condominio gimnasio salon de juegos para adolescentes y adultos parqueo grande para visitas vigilancia las 24 horas mantenimiento en jardines parqueos y resto del condominio el apartamento consta de sala comedor cocina abierta con desayunador habitacion principal con bano y walking closeth 3 habitaciones bano compartido por las dos habitaciones estudio sala familiar lavanderia balcon parqueo para 2 vehiculos gimnasio area social area de juegos area para eventos clave interna pva 014 02 24
torres metropolitan apartamento en venta ganga piedra parada,780000,108,3,2,2,carretera a el salvador,apartamento en venta edificio torres metropolitan apartamento amplio y bien iluminado km 16 5 carr a piedra parada cristo rey 108 mts2 de apartamento mas parqueos 3 dormitorios 2 banos completos 2 parqueos uno a la par del otro amenidades parqueo de visitas area de juegos para ninos bbq terraza pet friendly area social precio de venta 100 000 iusi q 900 trimestral mantto q 1 350 00 incluye agua seguridad extraccion de basura uso de area social
apartamento con jardin en villas granada 2,645000,70,3,2,1,santa catarina pinula,el apartamento en venta se encuentra en una zona ubicado alrededor de condominios y nuevos proyectos residenciales en desarrollo colegios escuelas y muy cercano a la estacion del transpinula en el condominio hay unicamente 24 apartamentos con jardin el edificio tiene amenidades tales como gimnasio cancha de basket futbol area de juegos infantiles salon social ademas cuenta con terraza publica con vistas espectaculares a la ciudad de guatemala y a sus hermosos volcanes se encuentra a una distancia accesible a mercados estacion de bus y comercios el apartamento se encuentra en primer nivel a demas cuenta con tres habitaciones sala comedor cocina con gabinetes isla para cocinar y almacenamiento alacena lavanderia estacionamiento para dos vehiculosel apartamento cuenta con un area construida de 70 mts2 y cuenta con varias mejoras y agregados que lo hacen unico en todo el residencial el apartamento cuenta con calentador de paso nuevo instalacion 220 para lavaplatos alacena modificada persianas total black out ventanas con polarizado especial zapatera en pasillo incluye toda la iluminacion a techo se ofrecera chapa nueva como incentivo todos los closets fueron reemplazados de los originales por color blanco al momento de adquirirlo se obtiene escritura por el apartamento 2 estacionamientos y jardin el precio es negociable clave interna pav 025 06 23
casa en arrazola fraijanes,1138800,220,3,2,3,fraijanes,preciosa casa en arrazola fraijanescarretera salv en un entorno fresco natural y seguro con alta plusvalia se encuentra esta preciosa casa dentro de un condominio exclusivo con vista al bosque y con amenidades muy interesantes y atractivas tales como areas verdes areas de juegos cancha de football basket tenis piscina con area socialla casa cuenta con 220 mts 2 construccion121 mts2 terreno3 niveles3 habitaciones 3 banos 1 sala familiar 1 bano de visita sala principal comedor cocina terraza para barbacoa cuarto de servicio cuarto de lavanderia cuarto de bodega carretera al salvador entrada a olmecaexcelente vista al bosque a orilla de calle amenidades clave interna pmc 017 12 23
