title_normalized,price_quetzales,square_meters,rooms,parking,baths,location_normalized,description_normalized
2 casas juntas en naciones unidas villa nueva,980000,150,6,4,4,villa nueva,condominio - churrasqueras - canchas de fut y basquetbol casas - medidas de cada terreno 6 m x 17 m - 2 casas de 1 nivel - sala comedor - cocina - 3 dormitorios cada una - 2 banos cada una - pila y patio - terraza - 2 parqueos cada una precio de venta total q980 000 poco negociable informacion general codigo 262691
apartamento en venta km 14 5 carretera a el salvador cod ca33892,1053000,0,2,2,1,carretera a el salvador,2 habitaciones 1 bano sala comedor cocina equipada balcon lavanderia con linea blanca 2 parqueos amenidades gimnasio salon social churrasquera parqueo de visitas precio 135 000 00 mantenimiento q600 00 incluye agua extraccion de basura y seguridad
apartamento en venta de 2 dormitorios edificio cendana zona 9,1159540,61,2,1,2,zona 9,descripcion area de construccion 61 457 m2 12 50 m2 de 1 parqueo 2 94 m2 bodega total 76 897 m2 sala comedor cocina con gabinetes y linea blanca alacena amplia dormitorio principal con walk in closet y bano privado habitacion secundaria con closet bano completo cuarto de lavanderia bodega 1 parqueo en sotano precio q1 159 540 negociable
casa en venta,750000,180,0,0,0,zona 18,ideal para reconstruir o construir de nuevo precio negociable garita de seguridad impuestos pagados
casa en venta zona 2 condominio la floresta,1600000,129,5,2,4,zona 1,2 niveles sala comedor cocina desayunador estudio 5 dormitorios closet 4 banos bano de visitas lavanderia dormitorio de servicio bodega terraza jardin 2 parqueos servicios electricidad desagues vigilancia construccion de block piso ceramico puertas de madera techo de terraza fundida ventanas de aluminio precio de venta q 1 600 000 00 impuestos de ley qv3932
se vende apartamento en villas de oro km 24 5 carretera a el salvador,650000,110,3,2,2,fraijanes,110 m2 de construccion 3 dormitorios amplios principal con w c y bano 2 banos sala comedor cocina area de lavanderia 2 parqueos amenidades salon social juegos infantiles cancha polideportiva area de churrasquera parqueo de visitas garita de seguridad pozo propio precio de venta q 650 000 00 iusi q 450 trimestral mantenimiento q 775 3107 335 info te146460011 info te145417320
vendo apartamento en vista hermosa 1 zona 15 edificio 3 85,1794000,110,2,2,2,zona 15,110 m2 de construccion 2 dormitorios con salida a jardin principal con walk in closet y bano 2 banos sala comedor cocina con linea blanca area de lavanderia equipada jardin bodega 2 parqueos amenidades recepcion seguridad salas de estar gimnasio area social en la terraza parqueo de visitas precio de venta 230 000 iusi q 1 479 39 trimestral mantenimiento q 1 580 3107 335 info te146460011 info te145417320
apartamento en venta z 13,975000,51,1,1,1,zona 13,precio 125 000 impuestos inmobiliaria inhouse apartamento tipo estudio techos altos y excelentes vistas area de construccion 51 mts2 mantenimiento q741 00 el mantenimiento incluye agua extraccion de basura limpieza de areas comunes cuenta con 1 ambiente 1 bano 1 parqueo cocina balcon bodega pet friendly amenidades gimnasio area de juegos infantiles sala de reuniones salon social parqueo de visitas seguridad apartamentos familias zona 13 narama
apartamento en venta z 13 monte azul,936000,133,3,2,3,zona 13,precio 120 000 impuestos area de construccion 133 mts2 mantenimiento q1 000 amplio apartamento en venta en excelente sector de zona 13 cuenta con 3 habitaciones 3 5 banos 2 parqueos sala comedor cocina linea blanca bano de visita estudio habitacion de servicio area de lavanderia con pila amenidades parqueo de visitas areas verdes seguridad informacion jessica casas familias zona 13 monte azul
casa en venta en condominio las alamedas del encinal zona 7 de mixco,1275000,200,3,2,3,zona 7,construccion 200 m2 terreno 105 m2 3 dormitorios principal con walk in closet y bano 3 5 banos sala i comedor i cocina sala familiar cuarto de servicio con bano area de lavanderia patio deck exterior con conexiones de agua y electricidad para futura ampliaciones 2 parqueos amenidades areas verdes area de juegos infantiles cancha polideportiva pergola para eventos precio de venta q 1 275 000 mantenimiento q 500 iusi trimestral q 996 3007 335 info te146460011 info te145417320
zona 7 tikal 2 dentro de garita casa en venta,1400000,250,7,2,4,zona 7,casa en venta zona 7 tikal 2 dentro de garita casa de 3 niveles terreno 5 x21 construccion 250 mts esta valorada en q133 mil poco iusi 7 habitaciones con closets 4 banos n 2 parqueos techados cisterna cocina con gabinetes area de lavanderia con patio
zona 15 vista hermosa 1 apartamento con jardin en venta,1794000,110,2,2,2,zona 15,zona 15 dentro de garita en vista hermosa 1 apartamento en venta con jardin edificio 3 85 zona 15 vhi 110 mts2 pet friendly primer nivel 2 dormitorios con salida a jardin principal con walk in closet y bano 2 banos sala comedor cocina con linea blanca area de lavanderia equipada jardin bodega 2 parqueos amenidades recepcion lobby seguridad salas de estar gimnasio area social en la terraza parqueo de visitas venta 230 000 neg iusi q 1 479 39 trimestral mantenimiento q 1 580
casa en venta km 18 5 carretera a san jose pinula,1365000,217,3,2,2,san jose pinula,cuenta con 217 mt2 3 habitaciones 2 5 banos estudio sala familiar amplia terraza sala principal con chimenea comedor cocina pantry lavanderia cuarto y bano de servicio 2 parqueos techados el condominio tiene parqueo de visitas salon social y area de juegos de ninos parecio de venta 175 000 00 mas impuestos mantenimiento q960 incluye agua y basura iusi q370 trimestre eb qo8067
apartamento en venta zona 16 codigo ca33880,1458600,91,3,2,2,zona 16,area 91 00 m2 25 00 m2 2 parqueos sala comedor cocina con desayunador area de torre para lavadora y secadora 3 habitaciones 2 5 banos 2 parqueos tandem balcon frances amenidades salon social gimnasio area de juegos infantiles area de juegos para mascotas cancha de papi futbol area verde con churrasquera precio apartamento 187 000 00 negociable
apartamento en venta en zona 10,1716000,160,3,0,2,zona 10,cuenta con 160 metros 2 parqueos sala principal grande comedor sala familia cuarto principal con walk in closet y bano dos cuartos secundario 1 bano cocina lavanderia cuarto servicio bano precio de venta 220 000 00 el mantenimiento es de q 1400 eb ot4742
vendo casa en carretera a el salvador buen precio con enganche bajo,745000,125,3,2,2,carretera a el salvador,condominio residencial con garita de seguridad areas verdes casa nueva casa 2 niveles garaje sala comedor cocina con gabinetes jardin dormitorio con bano completo 3 dorms 2 banos completos precio de venta q 745 000 enganche q 50 000
vendo casa en carretera a el salvador condominio residencial,1287000,200,3,3,3,carretera a el salvador,condominio residencial con garita de seguridad casa 2 niveles garaje techado sala comedor cocina con gabinetes cuarto de servicio con bano area de lavanderia 3 dorms 2 banos completos precio de venta 165 000 mas impuestos
apartamento en venta en zona 10 edificio ferrara 10 ref 80667,1443000,108,2,2,2,zona 10,apartamento en venta en edificio ferrara 10 con facilidad de acceso a diagonal 6 y zona pradera a pocos minutos de supermercados farmacias gasolineras restaurantes y centros comerciales ubicacion privilegiada en una de las zonas mas exclusivas de la ciudad con acceso rapido a servicios esenciales y entretenimiento el apartamento cuenta con 107 67 ms2 2 habitaciones principales cada una con su bano y walking closet bano de visita y 2 parqueos paralelos edificio cuenta con seguridad 24 horas salon social gimnasio jardin area y juego para ninos pet friendly no hay limite de tamano de perros precio de venta usd 185 000
apartamento en venta condominio entre valles villa nueva,530000,66,3,2,2,villa nueva,apartamento en venta en condonio entre valles villa nueva descripcion area de construccion 66 mt2 sala con balcon comedor cocina equipada con gabinetes y desayunador de granito habitacion principal con 2 closet y bano privado dos habitaciones secundarias bano compartido area de lavanderia con pila y conexion para lavadora dos estacionamientos para vehiculos en una ubicacion privilegiada a un costado del centro comercial el frutal cerca de supermercados tiendas de conveniencia colegios gasolineras farmacias ingreso a la vas san miguel petapa boca del monte el condominio cuenta con seguridad 24 7 garita con codigo de acceso para visitas elevador area de juegos infantiles salon social para eventos canchas deportivas ciclo via jardines areas verdes y pet friendly valor de venta q 530 000 00 negociables iusi mensual q 250 00 mantenimiento q 455 00 incluye seguridad agua extraccion de basura mantenimiento de areas verdes y comunes
apartamento en mariscal zona 11,1250000,89,2,2,1,zona 11,edificio - terraza - piscina - lounge - gimnasio - salon social - juegos para ninos apartamento - area de apartamento 89 m2 parqueo - ubicado en nivel alto - sala comedor - cocina con linea blanca - balcon - dormitorio principal con closet - dormitorio secundario con closet - bano completo - lavanderia con linea blanca - 2 parqueos tandem precio de venta q1 250 000 mantenimiento q1 090 informacion general codigo 264786
casa en venta santa barbara ii san cristobal zona 8 de mixco,1350000,106,3,3,2,zona 8,casa en venta en santa barbara ii ubicada en zona 8 de mixco san cristobal dentro de garita terreno de 7 54 x 15 m 113 1 m2 construccion de 106 m2 mas las ampliaciones de 2 niveles terraza 3 hab 2 banos cuarto servicio 2 parqueos ambos bajo techo 1 no bajo techo por ser tope de cuadra primer nivel sala comedor cocina con gabinetes bano de visitas cuarto de servicio area de lavanderia patio con pila y 2 parqueos ambos bajo techo podria parquearse un carro adicional no bajo techo por estar al tope de la cuadra segundo nivel 3 hab con closets 1 bano para compartir una habitacion esta ampliada la habitacion principal tiene salida con gradas hacia la terraza amenidades parqueo de visitas area verde area de juegos y area social con cocineta y bano precio de venta q 1 350 000 negociables
