title,price,square_meters,rooms,parking,baths,location,img_url,url,adv_description
 VENDO CASA EN CARRETERA A EL SALVADOR KM. 25,"['Q850,000']",122.0,3.0,2.0,2.0,Carretera a El Salvador,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/52/89/76/28528976_9875ed,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/vendo-casa-en-carretera-a-el-salvador-km-25/28528976?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","En condominio ubicado cerca del colegio Village   VENTA , altos de Village , casa nueva y lista para habitar. Km 25 carretera a él Salvador.    PRIMER NIVEL  Sala - Comedor  Cocina con gabinetes  Baño de visitas  Jardín - Área de lavandería  Garaje para 2 carros   SEGUNDO NIVEL  Dos habitaciones comparten baño  Habitación Principal tiene su baño y clóset   Terreno de: 7 x 16  Construcción: 122 m2   Precio de Venta Q850,000.00   Contáctenos para agendar una visita."
 APARTAMENTO EN VENTA/RENTA EN CARRETERA A EL SALVADOR,"['Q990,000']",70.0,2.0,2.0,2.0,Santa Catarina Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/52/02/76/28520276_e63959,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-renta-en-carretera-a-el-salvador/28520276?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","La ubicación del edificio es muy conveniente, cerca de centros comerciales, escolares y de salud.El edificio tiene abundantes amenidades:•Salones sociales•Coworking•Área social en la terraza•Gimnasio•Área de juegosEl apartamento consta de:  •2 dormitorios completos•2 baños completos•El dormitorio máster con walking clóset y baño con tina.•El dormitorio secundario con clóset y baño completo compartido.•2 parqueos tándem en sótano privado La renta incluye refrigeradora, estufa, cortinas y calentador. El precio de renta es de Q4900 con mantenimiento incluido.El precio de venta es de Q990,000.00Mantenimiento: Q1,190.00IUSI trimestral: Q896.00IUSI mensual: Q299.00Medidas: 70 m2 de construcción + 26 m2 de 2 parqueos = 96 m2 . --- Clave Interna: PMA. ---"
 Vendo Casa en San Miguel Petapa | ACODI,"['$85,430']",160.0,3.0,1.0,1.0,San Miguel Petapa,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/52/00/86/28520086_066978,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/vendo-casa-en-san-miguel-petapa-acodi/28520086?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","â Ãrea de construcción: 142 m2 â Ãrea del terreno: 160 v2 â Sala / comedor â Cocina â Baño de visitas â 3 dormitorios â 3 baños  Precio de venta: Q645,000 Código de propiedad: 255638"
 VENDO LINDA CASA EN CONDADO ALMERIA SAN JOSE PINULA,"['Q755,000']",120.0,3.0,2.0,2.0,San José Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/50/14/66/28501466_9dee3f,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/vendo-linda-casa-en-condado-almeria-san-jose-pinula/28501466?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","120 m²   3 Dormitorios (Principal con walk-in closet y baño)  2.5 Baños  Sala I Comedor I Cocina  Sala familiar  Estudio  Cuarto de servicio  Lavandería  Patio con pérgola 18 Mts2  2 Parqueos   Amenidades: Cancha deportiva, área de juegos infantiles, áreas verdes.   Precio de venta Q.755,000.00   IUSI Trimestral: Q. 680  Mantenimiento: Q. 455   2407/335   Info  Te146460011   Info  Te145417320"
 CASA EN VENTA EN Z.2 CON APARTAMENTO INDEPENDIENTE,"['$210,000']",215.0,3.0,5.0,2.0,Zona 2,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/50/05/85/28500585_2e3c2c,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-z-2-con-apartamento-independiente/28500585?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Precio: $210,000 + Impuestos  / Inmobiliaria InHouse   Casa en venta con un loft independiente dentro de garita con amplio jardín.   Área de Construcción: 215 mts2.  Varas de Terreno: 344 vr2  Frente y Fondo: 12 x 20 mts.  Mantenimiento: Q200   Cuenta con:  3 Habitaciones, 2.5 Baños, 5 Parqueos, Sala, Comedor, Cocina, Sala Familiar, Habitaciones de Servicio, Baño de Visitas, Área de Lavandería, Jardín, Patío, Cisterna, Pet Friendly.   Amenidades:  Seguridad.   #Casas #Familias #Zona 2   El Sauce"
" Casa en venta en Molino de las Flores, zona 2 de Mixco - Ref. 80420","['Q1,950,000']",1.0,6.0,3.0,2.0,Zona 2,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/47/22/98/28472298_4454a1,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-molino-de-las-flores-zona-2-de-mixco-ref-80420/28472298?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","casa de 2 niveles   - 4 habitaciones (master con walk in closet baño completo y balcón, 3 habitaciones  secundarias o 2 más estudio), más apartamento independiente de 2 habitaciones  (pendientes acabados)  - Sala familiar  - Baño visitas  - 3 parqueos  - Cisterna  - Dentro de garita, colonia con tiendas de conveniencia, parques y áreas verdes, Iglesia  Católica  - Acceso inmediato a Roosevelt   Precio de venta: Q 1,950,000.00"
 CASA EN VENTA ZONA 18 - Ref. 80665,"['Q845,000']",1.0,3.0,3.0,1.0,Zona 18,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/48/01/87/28480187_477d9c,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-zona-18-ref-80665/28480187?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","En un entorno tranquilo y seguro esta es la oportunidad de adquirir una hermosa casa en zona 18, con proximidad a centros comerciales, supermercados, transporte público en un residencial familiar con seguridad las 24 horas.   dentro de este residencial se encuentra ubicada esta hermosa casa que cuenta con   Sala  comedor  cocina  baño de visitas  lavandería   3 habitaciones   1 habitación principal con baño completo , closet, y balcón  2 habitaciones secundarias con closets ,baño completo compartido  sala familiar o estudio .   parqueo para 3 carros   Amenidades del Residencial   salón social  área de juegos infantiles  aéreas verdes   Precio de Venta Q845,000    Solo CLIENTES INTERESADOS y no corredores"
" GANGA LINDA CASA EN VILLAS DE SAN MATEO, KM 18 C AL PACIFICO VN GRAN OFERTA !!","['Q595,000']",112.0,3.0,2.0,2.0,Villa Nueva,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/46/01/35/28460135_154f04,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/ganga-linda-casa-en-villas-de-san-mateo-km-18-c-al-pacifico-vn-gran-oferta/28460135?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Completamente remodelada, ambientes como nuevos  3 habitaciones  Sala y comedor independientes  Cocina amueblada con gabinetes de luji  Closets nuevos  Car Port nuevo  Lavanderia techada  Precioso condominio tipo americano con amplias ares verdes  Excelente ubicacion a 15 minutos de Aguilar Batres  El precio es negociable y de contado hay una excelente oferta"
" Apartamento en Venta, Zona 15, Torre Praga, Vista Hermosa I","['$199,000']",76.0,2.0,2.0,2.0,Zona 15,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/45/32/30/28453230_e67b1f,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-zona-15-torre-praga-vista-hermosa-i/28453230?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Sala-comedor  Cocina  2 dormitorios  Walk-in closet en dormitorio principal  2 baños  Área de lavandería  2 parqueos   Equipado con: Lavadora, secadora, estufa, refrigeradora, calentador de agua, microondas.   Amenidades  Gimnasio  Juegos infantiles  Lobby  Fire Pit  Bussiness Center  Área de mascotas   Servicios, electricidad, pozo propio, vigilancia.   Precio de renta $199,000 + impuestos de ley + mantenimiento    +Información  EB-PP8647"
" Apartamentos en Venta Km 8.5 Carretera a Muxbal, Proyecto Nuevo","['Q1,000,000']",45.0,1.0,1.0,1.0,Santa Catarina Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/45/29/64/28452964_ed8eaa,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamentos-en-venta-km-8-5-carretera-a-muxbal-proyecto-nuevo/28452964?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Apartamentos disponibles de 1, 2 y 3 habitaciones   Modelo 1  Apartamentos desde 59.29 m2  1 habitaciones  1 baños  Área social con:  Cocina, comedor y sala  Lavandería  Balcón  1 parqueos    Modelo 2  Apartamentos desde 79.69 m2  2 habitaciones  2 baños  Área social con:  Cocina, comedor y sala  Lavandería  Balcón  2 parqueos    Modelo 3  Apartamentos desde 82.96 m2  2 habitaciones  2 baños  Área social con:  Cocina, comedor y sala  Lavandería  Balcón  2 parqueos    Modelo 4  Apartamentos desde 93.10 m2  3 habitaciones  2 baños  Área social con:  Cocina, comedor y sala  Lavandería  Balcón  2 parqueos    Modelo 5  Apartamento desde 95.31 m2  3 habitaciones  2 baños  Área social con:  Cocina, comedor y sala  Lavandería  Balcón  2 parqueos     Amenidades  Área de parque y picnic  Casa club  1 cancha polideportiva  Salón social  Deck al aire libre  Gimnasio  Piscina  Firepit  Juegos infantiles  Parque de mascotas  Área comercial privada  Calles peatonales     Servicios: electricidad, pozo propio, tanque séptico, vigilancia.    Construcción de block y prefabricado, piso cerámico, puertas de MDF, ventanas de PVC, techo de terraza fundida.    Mantenimiento $ 2.50 por mt2 que incluye seguridad, agua y extracción de basura.    Precios desde Q 1,000,000.00  Mantenimiento: $ 2.50 por mts2    Disponibilidad: Finales 2026 y primer trimestre 2027    +Información  EB-QT1635"
" Apartamento en Venta Condado Naranjo Zona 4 de Mixco, Apartamentos Alegría","['$195,000']",84.0,3.0,2.0,2.0,Zona 4,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/45/04/12/28450412_3d60f9,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-condado-naranjo-zona-4-de-mixco-apartamentos-alegria/28450412?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","Sala-comedor Cocina con gabinetes Desayunador 3 dormitorios Closet Walk-in closet en dormitorio principal 2 baños con ducha y calentador de agua Lavandería Cortineros Lámparas 2 parqueos  Amenidades Canchas deportivas Área social Juegos infantiles Acceso a silla de ruedas.  Servicios: electricidad, pozo propio, desagües, vigilancia.  Cuota de mantenimiento Q 850.00 incluye agua, extracción de basura, limpieza de área verde  Cuota de seguridad Q 142.00  Precio de venta $ 195,000.00 + impuestos de ley  EB-QT2505"
" Casa en Venta en Arrazola, Fraijanes","['Q1,250,000']",201.0,3.0,2.0,2.0,Fraijanes,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/44/96/73/28449673_a1e3a1,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-casas/casa-en-venta-en-arrazola-fraijanes/28449673?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas","La Casa en Venta se encuentra ubicada en Carretera a El Salvador en un lindo Condominio rodeado de lindas amenidades, naturaleza y tranquilidad La casa en Venta se encuentra ubicada a Escuelas, Colegios, Plazas y Centros Comerciales, Universidades, Iglesias, Gasolineras y muchos mas lugares de conveniencia en el Sector de Carretera a Pavón, también denominada Calle a OlmecaEl Condominio es un bonito lugar, con Vigilancia 24/7, con amplias áreas verdes y amenidades que entre otras son:- Salón Social- Piscina- Sauna y Jacuzzi- Juegos Infantiles y Área de Piñatas- Caminamientos - Gimnasio- Doble Garita de Seguridad Por su parte, la Casa en Venta que se encuentra en perfecto estado de conservación y mantenimiento cuenta con:- Sala con Chimenea - Comedor- Cocina- Área de Servicio con Baño completo- Baño de Visitas- Lavandería- Pario Trasero con Jardín incluido- Habitación Master con Walking Closet y Baño Completo- Dos Habitaciones Secundarias con Closet y Baño Compartido- Sala Familiar- Balcón con Vista al Bosque- Área e Estudio- Bodega- Estacionamiento techado para dos vehículosNO PIERDAS TU OPORTUNIDAD, LLAMA YA PARA PEDIR TU CITA AL ...  . --- Clave Interna: PVC.016.07.24 ---"
 Apartamentos en venta en San José Pinula,"['Q507,500']",61.0,2.0,,1.0,San José Pinula,https://photos.encuentra24.com/t_or_fh_m/f_auto/v1/gt/28/24/45/48/28244548_02a6a8,"https://www.encuentra24.com/guatemala-es/bienes-raices-venta-de-propiedades-apartamentos/apartamentos-en-venta-en-san-jose-pinula/28244548?q=f_price.400000-2000000|f_currency.GTQ|withcat.bienes-raices-venta-de-propiedades-casas,bienes-raices-venta-de-propiedades-apartamentos&regionslug=guatemala-es-guatemala&list=categoryregion&categoryslug=bienes-raices-venta-de-propiedades-casas",Luzea Apartamentos es el residencial en donde esa vida ideal de la que se habla cuando soñamos en grande es una posibilidad.   El proyecto estará conformado por 10 torres de 48 apartamentos de 2 y 3 habitaciones cada una. Contará con:  - Amplio parqueo propietarios y visitas  - Salón social  - Juegos infantiles  - Canchas polideportivas  - Área de Churrasqueras  - Piscina  - Gimnasio  - Área de mascotas
